id,nom,categorie,sous_categorie,categorie_v1,sous_categorie_v1,ville_region,adresse,telephone,latitude,longitude,source,statut_verification
1,Signatures Restaurant,Alimentation & Restauration,Restaurant international,restauration,restaurant indien,Djibouti-ville,Heron,+253 77 05 55 86,11.6093619,43.1468966,google_places,geolocalise
2,LA FUSION Restaurant,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant,Djibouti-ville,"Hypermarche Al Gamil, zone industrielle",+253 77 19 98 98,11.5713539,43.1530752,google_places,geolocalise
3,Deluxe,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant,Djibouti-ville,Route de Venise,+253 77 48 80 11,11.6009579,43.142591,google_places,geolocalise
4,Janateyn Yemeni Restaurant,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant yemenite,Djibouti-ville,Zone industrielle,+253 77 81 90 90,11.5713942,43.1516594,google_places,geolocalise
5,Appetito Restaurant,Alimentation & Restauration,Restaurant africain / local,restauration,restaurant,Djibouti-ville,Rue de Bender (pres Mosquee Hamoudi),+253 77 04 52 52,11.5921799,43.1452893,google_places,geolocalise
6,Restaurant Le Longchamp,Alimentation & Restauration,Restaurant international,restauration,restaurant-bar,Djibouti-ville,Heron,+253 77 10 49 49,11.6084568,43.1474852,google_places,geolocalise
7,Pizzaiolo Haramous,Alimentation & Restauration,Pizzeria,restauration,pizzeria,Djibouti-ville,Haramous,+253 21 35 35 12,11.5657266,43.1645211,google_places,geolocalise
8,Villa Camille,Alimentation & Restauration,Café / salon de thé,restauration,cafe-restaurant / galerie,Djibouti-ville,Plateau du Serpent,+253 21 35 74 58,11.6070467,43.1545371,google_places,geolocalise
9,Restaurant NUMBER 1,Alimentation & Restauration,Restaurant international,restauration,restaurant international,Djibouti-ville,Route de l'aeroport,+253 21 34 48 83,11.5593398,43.1478753,google_places,geolocalise
10,QG Pub & Resto,Alimentation & Restauration,Restaurant international,restauration,pub-restaurant,Djibouti-ville,Route de l'aeroport,+253 77 41 41 41,11.5593925,43.1480928,google_places,geolocalise
11,Comfort Hotel Djibouti,Hébergement,Hôtel (standard),hebergement,hotel,Djibouti-ville,"Palace Rainbow, centre-ville",+253 21 34 40 01,11.5907239,43.1456855,google_places,geolocalise
12,Djib Guesthouse,Hébergement,Auberge / guesthouse,hebergement,maison d'hotes,Djibouti-ville,Heron,+253 77 81 01 10,11.6099242,43.1460389,google_places,geolocalise
13,Djibouti Ayla Grand Hotel,Hébergement,Hôtel de luxe (4-5*),hebergement,hotel 5 etoiles,Djibouti-ville,"Salines Ouest, Port de Peche",+253 21 31 81 11,11.5944787,43.1301513,google_places,geolocalise
